{'评论时间': '2024-02-03 22:47:23', 'IP属地': '湖北', '评论内容': '谁懂啊，东西湖又又又下冻雨了。'}
{'评论时间': '2024-02-03 23:09:52', 'IP属地': '广东', '评论内容': '这是城区，高速呢？那才是重点'}
{'评论时间': '2024-02-03 20:04:39', 'IP属地': '湖北', '评论内容': '把高速也铲铲啊，我的快递困路上2天了'}
{'评论时间': '2024-02-03 21:47:22', 'IP属地': '河南', '评论内容': '我最担心的是京港澳高速河南段状况'}
{'评论时间': '2024-02-03 18:00:10', 'IP属地': '湖北', '评论内容': '昨天我还在吊带今天回武汉冻成狗'}
{'评论时间': '2024-02-03 12:21:05', 'IP属地': '青海', '评论内容': '前轱辘转，后轱辘不转'}
{'评论时间': '2024-02-03 10:27:28', 'IP属地': '江西', '评论内容': '从小就见过，以前别人还问我什么是冻雨，从来没见过'}
{'评论时间': '2024-02-03 19:33:01', 'IP属地': '浙江', '评论内容': '隐藏式门把手的最大好处让司机结冰天气禁止开车'}
{'评论时间': '2024-02-03 02:15:51', 'IP属地': '陕西', '评论内容': '承认自己是南方的湖北人出来走两步'}
{'评论时间': '2024-02-03 18:39:56', 'IP属地': '山东', '评论内容': '没化冻试试…能不能推动、能不能扫动、'}
{'评论时间': '2024-02-03 23:06:43', 'IP属地': '湖北', '评论内容': '我恨湖北，让我在高速堵了10小时，你们取在这里拍视频'}
{'评论时间': '2024-02-03 22:12:53', 'IP属地': '广东', '评论内容': '冻雨'}
{'评论时间': '2024-02-03 23:25:58', 'IP属地': '湖北', '评论内容': '撒泡尿问题就解决了'}
{'评论时间': '2024-02-03 19:15:59', 'IP属地': '江苏', '评论内容': '小米汽车的门把手考虑真周到'}
{'评论时间': '2024-02-03 22:47:25', 'IP属地': '浙江', '评论内容': '意思就是回四川别往湖北过'}
{'评论时间': '2024-02-03 21:54:28', 'IP属地': '湖北', '评论内容': '雷军的半隐藏式门把手你值得拥有'}
{'评论时间': '2024-02-03 19:07:44', 'IP属地': '安徽', '评论内容': '一泡尿就能够解决'}
{'评论时间': '2024-02-03 21:27:07', 'IP属地': '辽宁', '评论内容': '还有油箱盖也是这样的，没办法去加油只能撬开'}
{'评论时间': '2024-02-03 21:52:09', 'IP属地': '湖北', '评论内容': '有幸在南方见到雾凇美景'}
{'评论时间': '2024-02-03 14:42:31', 'IP属地': '安徽', '评论内容': '冷冷的冰雨在湖北胡乱的拍'}
{'评论时间': '2024-02-03 18:55:53', 'IP属地': '江西', '评论内容': '是反人类开门设计'}
{'评论时间': '2024-02-03 23:52:08', 'IP属地': '湖北', '评论内容': '我早上用铁锹把大门口铲了半天，结果晚上又下回了原样'}
{'评论时间': '2024-02-03 21:56:00', 'IP属地': '河南', '评论内容': '上高速铲呗'}
{'评论时间': '2024-02-03 22:51:29', 'IP属地': '湖北', '评论内容': '武汉下雪了吗？我天天上下班没看见雪啊'}
{'评论时间': '2024-02-03 21:43:56', 'IP属地': '湖北', '评论内容': '6号武汉回广州应该问题不大吧？'}
{'评论时间': '2024-02-03 15:05:47', 'IP属地': '山东', '评论内容': '这样显得高级。'}
{'评论时间': '2024-02-03 22:57:57', 'IP属地': '湖北', '评论内容': '不仅仅冻雨，还停水停电'}
{'评论时间': '2024-02-03 22:15:05', 'IP属地': '上海', '评论内容': '国家还是有的是好设备，希望每年春运期间多考虑一下回家的路啊，高速路上多派几辆'}
{'评论时间': '2024-02-03 21:32:25', 'IP属地': '江苏', '评论内容': '设计师当时设计的时候是不是没考虑也有冬季打不开的时候'}
{'评论时间': '2024-02-03 10:41:19', 'IP属地': '浙江', '评论内容': '怎么会没见过呢？这严格上来讲叫做冰雨、著名歌手刘德华还特意写过一首歌来形容这种天气。冷冷的冰雨在我脸上胡乱的拍'}
{'评论时间': '2024-02-03 07:28:49', 'IP属地': '湖北', '评论内容': '早上刚拍的'}
{'评论时间': '2024-02-03 23:15:53', 'IP属地': '湖北', '评论内容': '我是小丑，一天了还没到武汉，现在停汉口'}
{'评论时间': '2024-02-03 21:36:53', 'IP属地': '湖北', '评论内容': '隐藏式门把手就是一鸡肋'}
{'评论时间': '2024-02-03 18:26:30', 'IP属地': '河北', '评论内容': '这天儿，非隐藏门把手也会冻得拉不动'}
{'评论时间': '2024-02-03 10:55:58', 'IP属地': '广东', '评论内容': '难怪湖北人高冷，下的雨都比别人冷'}
{'评论时间': '2024-02-03 23:42:01', 'IP属地': '湖北', '评论内容': '荆州秒了'}
{'评论时间': '2024-02-03 01:46:22', 'IP属地': '湖北', '评论内容': '表显示跑了100公里其实还没到下个红绿灯'}
{'评论时间': '2024-02-03 18:43:28', 'IP属地': '上海', '评论内容': '没毛病，就是字面意思，隐藏的门把手'}
{'评论时间': '2024-02-03 16:42:26', 'IP属地': '山东', '评论内容': '高级的'}
{'评论时间': '2024-02-03 23:05:21', 'IP属地': '湖北', '评论内容': '冻雨'}
{'评论时间': '2024-02-03 09:12:57', 'IP属地': '湖北', '评论内容': '湖北出圈两次，一次是高冷，嗯，一次是真冷，下廩'}
{'评论时间': '2024-02-03 10:17:43', 'IP属地': '湖北', '评论内容': '第一次见汽车味的糖葫芦'}
{'评论时间': '2024-02-03 22:08:46', 'IP属地': '湖北', '评论内容': '我也在武汉…也没看到雪'}
{'评论时间': '2024-02-03 21:33:22', 'IP属地': '浙江', '评论内容': '不知道设计这种门把手当时在想什么'}
{'评论时间': '2024-02-03 21:40:40', 'IP属地': '安徽', '评论内容': '开水走起来'}
{'评论时间': '2024-02-03 14:31:07', 'IP属地': '重庆', '评论内容': '冻雨放在北方也是灾。放在南方更严重。谨慎应对。祝福老铁。'}
{'评论时间': '2024-02-03 15:39:54', 'IP属地': '河南', '评论内容': '武汉属于北方吗？'}
{'评论时间': '2024-02-03 23:13:13', 'IP属地': '湖北', '评论内容': '你是没来荆州，我的车上两厘米厚的冰，冻的结结实实'}
{'评论时间': '2024-02-03 14:53:05', 'IP属地': '湖南', '评论内容': '门都要砸坏了，以后出门用保温杯装点热水走'}
{'评论时间': '2024-02-03 18:19:24', 'IP属地': '广东', '评论内容': '什么家庭，连热水都没有？'}
{'评论时间': '2024-02-03 18:15:23', 'IP属地': '广东', '评论内容': '6号揭阳机场飞武汉天河机场，应该能飞吧'}
{'评论时间': '2024-02-03 19:23:11', 'IP属地': '福建', '评论内容': '想要长命点活着，车不要买太智能的，一旦产生依赖，突发性事件你会手忙脚乱，完全无法应对，就好比这种，一旦翻车，或者干啥的，消防队都只能切割车门救你，往往就差这几分钟十来分钟，你就凉凉了'}
{'评论时间': '2024-02-03 23:28:21', 'IP属地': '泰国', '评论内容': '20年十一月吉林延边就经历过这个冻雨了'}
{'评论时间': '2024-02-03 10:38:42', 'IP属地': '广东', '评论内容': '就是落下来会结冰的雨叫冻雨'}
{'评论时间': '2024-02-03 09:55:09', 'IP属地': '湖南', '评论内容': '我们湖南也是这个冻雨'}
{'评论时间': '2024-02-03 23:06:42', 'IP属地': '陕西', '评论内容': '这个时候用热水浇一哈，要没有热水，用热尿也可以'}
{'评论时间': '2024-02-03 21:16:54', 'IP属地': '江西', '评论内容': '实在不行就地过年吧'}
{'评论时间': '2024-02-03 21:32:31', 'IP属地': '江苏', '评论内容': '设计车把手的人是告诉你，下雨天不要开车，你不听的话就自动把你关起来。'}
{'评论时间': '2024-02-03 19:30:08', 'IP属地': '广东', '评论内容': '啥都不说了，进屋烧开水'}
{'评论时间': '2024-02-03 18:35:28', 'IP属地': '浙江', '评论内容': '希望大家都买特斯拉！'}
{'评论时间': '2024-02-03 12:12:09', 'IP属地': '湖北', '评论内容': '别说东北了，我一个湖北人这么多年也是第一次见这种天气'}
{'评论时间': '2024-02-03 17:17:34', 'IP属地': '安徽', '评论内容': '我买明天票到武汉'}
{'评论时间': '2024-02-03 21:02:05', 'IP属地': '广东', '评论内容': '今晚的高铁 还能回武汉吗'}
{'评论时间': '2024-02-03 19:32:45', 'IP属地': '安徽', '评论内容': '它们没想到你居然没有车库'}
{'评论时间': '2024-02-03 21:37:18', 'IP属地': '湖北', '评论内容': '哈尔滨靠感动留人，湖北靠冻雨留人'}
{'评论时间': '2024-02-03 08:56:52', 'IP属地': '湖北', '评论内容': '凌晨两三点打雷下雨下雪'}
{'评论时间': '2024-02-03 22:30:51', 'IP属地': '四川', '评论内容': '就不能热水冲一下'}
{'评论时间': '2024-02-03 13:16:21', 'IP属地': '江苏', '评论内容': '热毛巾敷一下 一分钟不到就可以解决  不要用开水烫 不然玻璃就废了'}
{'评论时间': '2024-02-03 23:24:34', 'IP属地': '湖北', '评论内容': '我今天刚到武汉就被赶下高速了，下边也是到处有积雪，搞得我没办法在湖北过夜了，难道就是要靠这样来拉高GDP吗？所有的高速入口都封闭，下边的道路堵的不要不要的，3.5公里硬是堵了我3个多小时，也没有见一个工作人员过来处理'}
{'评论时间': '2024-02-03 11:31:16', 'IP属地': '湖北', '评论内容': '湖北叫凌冰'}
{'评论时间': '2024-02-03 19:03:58', 'IP属地': '贵州', '评论内容': '高科技产品，有科技感，还好我们上了年纪的老百姓不会用高科技，也用不起，就像手机，只会打电话，发微信和抖音，其它的还不会用'}
{'评论时间': '2024-02-03 11:09:01', 'IP属地': '湖北', '评论内容': 'emmm，虽然我不是武汉的但是黄冈差不多'}
{'评论时间': '2024-02-03 14:23:45', 'IP属地': '湖北', '评论内容': '咦，我早晨七点就出门了，怎么还在原地打转呢？'}
{'评论时间': '2024-02-03 22:59:41', 'IP属地': '江苏', '评论内容': '正常  我老式把手也被冻过'}
{'评论时间': '2024-02-03 11:36:53', 'IP属地': '江西', '评论内容': '这是谁的冰糖葫芦还是汽车馅的'}
{'评论时间': '2024-02-03 15:01:36', 'IP属地': '山东', '评论内容': '一泡热尿解决'}
{'评论时间': '2024-02-03 22:14:33', 'IP属地': '广东', '评论内容': '不隐藏的也打不开'}
{'评论时间': '2024-02-03 22:46:57', 'IP属地': '湖北', '评论内容': '冰糖武汉'}
{'评论时间': '2024-02-03 20:35:06', 'IP属地': '广东', '评论内容': '我在广东耍几天再回武汉'}
{'评论时间': '2024-02-03 22:39:34', 'IP属地': '上海', '评论内容': '为我们武汉城市管理员们点赞，为我们大湖北各地方人民警察们点赞，温暖人心，超级棒棒棒'}
{'评论时间': '2024-02-03 00:50:13', 'IP属地': '湖北', '评论内容': '我明天怎么回去啊'}
{'评论时间': '2024-02-03 19:20:35', 'IP属地': '北京', '评论内容': '人家需要配专属车库的'}
{'评论时间': '2024-02-03 18:20:35', 'IP属地': '山东', '评论内容': '隐藏式门把手这是为你好，雨雪天气太危险了，不要开车了'}
{'评论时间': '2024-02-03 21:41:05', 'IP属地': '湖南', '评论内容': '40公里开了一天'}
{'评论时间': '2024-02-03 20:52:31', 'IP属地': '湖北', '评论内容': '从中午11:30半进入湖北到现在晚上21点还没出湖北省'}
{'评论时间': '2024-02-03 22:59:57', 'IP属地': '湖北', '评论内容': '武汉这是要死'}
{'评论时间': '2024-02-03 23:48:50', 'IP属地': '湖北', '评论内容': '坐标湖北荆州，冻雨导致我家的钢管大棚葡萄园坍塌了，损失国家有补贴吗，真的哭晕在厕所，大晚上还在除雪'}
{'评论时间': '2024-02-03 21:33:13', 'IP属地': '湖北', '评论内容': '明天早上的车啊'}
{'评论时间': '2024-02-03 17:40:18', 'IP属地': '湖北', '评论内容': '既不是雨也不是雪 冻雨滴水成冰 '}
{'评论时间': '2024-02-03 12:10:03', 'IP属地': '湖北', '评论内容': '没车库就是这样啊'}
{'评论时间': '2024-02-03 12:16:08', 'IP属地': '重庆', '评论内容': '一公里一箱油'}
{'评论时间': '2024-02-03 09:15:09', 'IP属地': '湖北', '评论内容': '湖北叫街溜子'}
{'评论时间': '2024-02-03 14:43:22', 'IP属地': '湖北', '评论内容': '早上准备出门的，结果原地风火轮'}
{'评论时间': '2024-02-03 15:51:16', 'IP属地': '四川', '评论内容': '雷布斯:了解一下我们的SU7门把手'}
{'评论时间': '2024-02-03 21:18:52', 'IP属地': '湖南', '评论内容': '怪不得我快递从31号就在武汉没动了'}
{'评论时间': '2024-02-03 23:58:37', 'IP属地': '河南', '评论内容': '各个城市高速，国道，主干道都应该除雪'}
{'评论时间': '2024-02-03 20:30:23', 'IP属地': '湖北', '评论内容': '所有列车全部晚点吗？买了明天的票'}
{'评论时间': '2024-02-03 11:52:25', 'IP属地': '湖南', '评论内容': '叫东北冰溜子'}
{'评论时间': '2024-02-03 09:38:22', 'IP属地': '重庆', '评论内容': '南方没暖气，冷啊'}
{'评论时间': '2024-02-03 18:29:10', 'IP属地': '福建', '评论内容': '湖北高冷实锤了'}
{'评论时间': '2024-02-03 10:57:15', 'IP属地': '湖北', '评论内容': '这前驱不行啊，要不要试试我的quattro'}
{'评论时间': '2024-02-03 13:44:43', 'IP属地': '湖北', '评论内容': '冷冷的冰雨'}
{'评论时间': '2024-02-03 23:57:45', 'IP属地': '河南', '评论内容': '没关系，哥刚从武汉回来'}
{'评论时间': '2024-02-03 12:13:31', 'IP属地': '广西', '评论内容': '前轱辘转后轱辘不转斯密达～'}
{'评论时间': '2024-02-03 20:03:58', 'IP属地': '河北', '评论内容': '开水侍候'}
{'评论时间': '2024-02-03 20:19:36', 'IP属地': '广西', '评论内容': '反人类设计'}
{'评论时间': '2024-02-03 21:30:01', 'IP属地': '湖北', '评论内容': '武汉过冬，全靠一身正气。'}
{'评论时间': '2024-02-03 00:09:14', 'IP属地': '湖北', '评论内容': '武汉连冰都下了就不下个雪，武汉你个犟种咋就这么犟呢'}
{'评论时间': '2024-02-03 21:05:11', 'IP属地': '云南', '评论内容': '撒泡尿就解决了'}
{'评论时间': '2024-02-03 23:12:58', 'IP属地': '湖北', '评论内容': '还好今天从武汉回来了，虽然高铁晚点了 4 个小时'}
{'评论时间': '2024-02-03 00:08:38', 'IP属地': '广东', '评论内容': '以前经常刷到东北人说南方不下雪的么'}
{'评论时间': '2024-02-03 16:18:15', 'IP属地': '河北', '评论内容': '没热水尿也行'}
{'评论时间': '2024-02-03 16:08:40', 'IP属地': '山东', '评论内容': '这种设计应该是设计师缺心眼子'}
{'评论时间': '2024-02-03 23:11:40', 'IP属地': '湖北', '评论内容': '服了，孝感现在下暴雪'}
{'评论时间': '2024-02-03 08:24:02', 'IP属地': '河南', '评论内容': '这样咋算公里数'}
{'评论时间': '2024-02-03 11:46:36', 'IP属地': '湖北', '评论内容': '在湖北叫冰雨，冷冷的冰雨在脸上胡乱的拍'}
{'评论时间': '2024-02-03 11:19:51', 'IP属地': '湖北', '评论内容': '北方下雪，南方回南天，湖北在下令钩子'}
{'评论时间': '2024-02-03 00:33:25', 'IP属地': '河南', '评论内容': '前轱辘转，后轱辘不转滴斯密达'}
{'评论时间': '2024-02-03 21:34:37', 'IP属地': '贵州', '评论内容': '建议取消这种门把手开门方式'}
{'评论时间': '2024-02-03 23:28:58', 'IP属地': '湖北', '评论内容': '我感觉我在假武汉，雪下哪里去了'}
{'评论时间': '2024-02-03 08:47:21', 'IP属地': '湖北', '评论内容': '昨晚打雷下雪'}
{'评论时间': '2024-02-03 23:11:52', 'IP属地': '辽宁', '评论内容': '反人类设计 细品吧'}
{'评论时间': '2024-02-03 19:37:45', 'IP属地': '湖北', '评论内容': '别说了，出门就摔了一跤'}
{'评论时间': '2024-02-03 11:45:31', 'IP属地': '湖南', '评论内容': '湖南今天也下冻雨'}
{'评论时间': '2024-02-03 20:49:37', 'IP属地': '湖北', '评论内容': '我还好，飞机回来的，我还以为他能把空气给冻住'}
{'评论时间': '2024-02-03 23:10:03', 'IP属地': '湖南', '评论内容': '这会正在深圳至襄阳的火车上、凌晨三点多到武汉会不会停'}
{'评论时间': '2024-02-03 15:07:17', 'IP属地': '湖北', '评论内容': '这几天持续冻雨建议留守武汉'}
{'评论时间': '2024-02-03 13:43:17', 'IP属地': '山东', '评论内容': '冻雨真的可以用热水浇吗'}
{'评论时间': '2024-02-03 19:49:42', 'IP属地': '河南', '评论内容': '哪个脑残设计的'}
{'评论时间': '2024-02-03 16:41:30', 'IP属地': '湖北', '评论内容': '冰糖汽车'}
{'评论时间': '2024-02-03 22:11:48', 'IP属地': '广东', '评论内容': '上高速去处理积雪才是王道'}
{'评论时间': '2024-02-03 11:14:49', 'IP属地': '安徽', '评论内容': '我昨晚到安徽地界 高速堵车显示四个小时 我选择走下面 170公里 时速30-40'}
{'评论时间': '2024-02-03 19:52:34', 'IP属地': '广西', '评论内容': '以后会有个门把手加热'}
{'评论时间': '2024-02-03 01:28:52', 'IP属地': '湖北', '评论内容': '前轱辘转，后轱辘不转，思密达～'}
{'评论时间': '2024-02-03 21:26:07', 'IP属地': '湖北', '评论内容': '这种车门把手牛逼，防小偷一流。'}
{'评论时间': '2024-02-03 14:52:10', 'IP属地': '河北', '评论内容': '确实高冷'}
{'评论时间': '2024-02-03 20:36:53', 'IP属地': '江苏', '评论内容': '就说隐藏不隐藏吧'}
{'评论时间': '2024-02-03 20:35:33', 'IP属地': '湖北', '评论内容': '高科技'}
{'评论时间': '2024-02-03 12:09:19', 'IP属地': '湖北', '评论内容': '今天谁还敢说湖北没下雪，今天早上起来是不是白啦，冻雨加雪'}
{'评论时间': '2024-02-03 18:38:19', 'IP属地': '湖北', '评论内容': '隐藏拉手真是好'}
{'评论时间': '2024-02-03 20:37:19', 'IP属地': '辽宁', '评论内容': '我记得比亚迪的那个视频。外面冻了厚厚一成冰，这个把手直接就给顶出来了。'}
{'评论时间': '2024-02-03 11:49:00', 'IP属地': '江西', '评论内容': '1 公里 10 个油'}
{'评论时间': '2024-02-03 18:31:25', 'IP属地': '湖北', '评论内容': '上开水'}
{'评论时间': '2024-02-03 22:41:16', 'IP属地': '湖北', '评论内容': '今天早上上班摔了一跤，屁股现在还痛'}
{'评论时间': '2024-02-03 12:05:29', 'IP属地': '河南', '评论内容': '前轱辘转后轱辘不转思密达'}
{'评论时间': '2024-02-03 06:29:50', 'IP属地': '加拿大', '评论内容': '我在国外的武汉人都听懂了'}
{'评论时间': '2024-02-03 23:24:47', 'IP属地': '湖北', '评论内容': 'S18荆州到武汉高速快车道断断续续结冰了，大家千万小心特别是新手'}
{'评论时间': '2024-02-03 10:13:55', 'IP属地': '江西', '评论内容': '哦～！前轱辘转后轱辘不转斯密达'}
{'评论时间': '2024-02-03 18:33:35', 'IP属地': '广东', '评论内容': '武汉陪一张'}
{'评论时间': '2024-02-03 09:12:16', 'IP属地': '湖北', '评论内容': '湖北滴令勾子'}
{'评论时间': '2024-02-03 15:31:31', 'IP属地': '湖北', '评论内容': '北方人过冬靠暖气，我们湖北人过冬靠一身正气'}
{'评论时间': '2024-02-03 21:50:04', 'IP属地': '湖北', '评论内容': '上东北锤'}
{'评论时间': '2024-02-03 23:12:41', 'IP属地': '湖北', '评论内容': '武汉江夏真的没有雪，外面噼里啪啦的在下冻雨'}
{'评论时间': '2024-02-03 20:04:44', 'IP属地': '陕西', '评论内容': '反人类设计'}
{'评论时间': '2024-02-03 20:40:54', 'IP属地': '四川', '评论内容': '也许一泡尿能解决'}
{'评论时间': '2024-02-03 18:24:10', 'IP属地': '陕西', '评论内容': '不知道哪个脑残设计的这些汽车功能，第一个就是自动启停功能，第二个就是隐藏式门把手，这就是脑残中的战斗机啊'}
{'评论时间': '2024-02-03 22:04:55', 'IP属地': '内蒙古', '评论内容': '现在好多奇奇怪怪的设计，完了还好多人喜欢。我是不喜欢，感觉好多功能没什么用，多了容易坏，坏了即使不用强迫症也得修好它。启停我不需要，红绿灯一般也就一分钟，怠速一分钟总得往前挪，老是启停不知道对马达电瓶有没有消耗，反正有启停和没有的电瓶应该贵二百。还是双离合双涡轮我都不需要，其实天窗我都不需要，但我买四驱算高配必带。一共开过两次天窗，一次刚买上一次冬天打开差点冻冰卡住'}
{'评论时间': '2024-02-03 23:46:52', 'IP属地': '湖北', '评论内容': '湖北的高速'}
{'评论时间': '2024-02-03 12:49:21', 'IP属地': '湖北', '评论内容': '你们以为瑟瑟发抖是形容害怕么？不，在湖北湖南江西三个老表的面前这是写实的形容词'}
{'评论时间': '2024-02-03 19:37:50', 'IP属地': '安徽', '评论内容': '设计师没想到你不买车库'}
{'评论时间': '2024-02-03 11:44:13', 'IP属地': '湖北', '评论内容': '黑河老乡在湖北刷到哈尔滨人'}
{'评论时间': '2024-02-03 18:03:22', 'IP属地': '江西', '评论内容': '这隐藏式把手就是智商税'}
{'评论时间': '2024-02-03 21:12:52', 'IP属地': '广东', '评论内容': '08年的广州，24年压力给到了武汉，英雄的城市'}
{'评论时间': '2024-02-03 19:15:11', 'IP属地': '广东', '评论内容': '刚才刷到一个用两张纸放在把手上解决了'}
{'评论时间': '2024-02-03 03:14:39', 'IP属地': '河北', '评论内容': '第一次去湖北，在镇里一个小宾馆住，好不夸张的说，那被子就像刚从洗衣机甩干里拿出来的一样'}
{'评论时间': '2024-02-03 21:14:06', 'IP属地': '山西', '评论内容': '烧壶热水一浇就开'}
{'评论时间': '2024-02-03 13:03:19', 'IP属地': '山东', '评论内容': '烟台人差点冻死在武汉'}
{'评论时间': '2024-02-03 13:30:39', 'IP属地': '辽宁', '评论内容': '门把手：这么冷的天，我才不出去，不出去'}
{'评论时间': '2024-02-03 21:04:16', 'IP属地': '广东', '评论内容': '这个设计我称之为脑残设计，锁命把手'}
{'评论时间': '2024-02-03 12:54:31', 'IP属地': '湖北', '评论内容': '冻雨'}
{'评论时间': '2024-02-03 20:04:36', 'IP属地': '陕西', '评论内容': '反人类的设计'}
{'评论时间': '2024-02-03 11:34:41', 'IP属地': '湖北', '评论内容': '东北零下二十来度，那是室外温度。湖北零下三度，那是室内温度'}
{'评论时间': '2024-02-03 01:57:36', 'IP属地': '江苏', '评论内容': '半夜三更的给我打电话，说湖北的空调被冻得不起机了'}
{'评论时间': '2024-02-03 09:47:23', 'IP属地': '湖北', '评论内容': '打不开'}
{'评论时间': '2024-02-03 22:01:00', 'IP属地': '广东', '评论内容': '武汉是让08年整怕了，患了严重的除雪机器不足恐惧症'}
{'评论时间': '2024-02-03 19:13:21', 'IP属地': '湖南', '评论内容': '看看什么是冻雨'}
{'评论时间': '2024-02-03 22:08:28', 'IP属地': '河北', '评论内容': '湖北高速都堵麻了，刚刷到安好多堵在湖北的'}
{'评论时间': '2024-02-03 10:41:25', 'IP属地': '湖南', '评论内容': '冻雨从字面意思理解，就是雨被冻住了吗'}
{'评论时间': '2024-02-03 22:58:48', 'IP属地': '湖北', '评论内容': '明天早上八点到南京能走吗？'}
{'评论时间': '2024-02-03 13:06:25', 'IP属地': '新疆', '评论内容': '呦 湖北的冰糖葫芦都出小汽车馅儿的了'}
{'评论时间': '2024-02-03 23:10:44', 'IP属地': '湖北', '评论内容': '还有多少人堵在回武汉的高速上的扣个1看哈。昨天中午就进到湖北境内啦，现在才到家'}
{'评论时间': '2024-02-03 22:42:38', 'IP属地': '江苏', '评论内容': '我好怀恋我的娘家湖北，由于天气原因回不去了'}
{'评论时间': '2024-02-03 12:11:52', 'IP属地': '湖南', '评论内容': '湖北的冻雨不会动'}
{'评论时间': '2024-02-03 05:24:37', 'IP属地': '江苏', '评论内容': '湖北叫令钓子'}
{'评论时间': '2024-02-03 18:40:02', 'IP属地': '安徽', '评论内容': '隐藏门把手就是省油'}
{'评论时间': '2024-02-03 10:47:31', 'IP属地': '湖北', '评论内容': '东北人，在湖北第一天被冻感冒了'}
{'评论时间': '2024-02-03 21:08:11', 'IP属地': '河北', '评论内容': '倒点开水'}
{'评论时间': '2024-02-03 13:53:35', 'IP属地': '安徽', '评论内容': '隐藏把手好啊，偷车都偷不了'}
{'评论时间': '2024-02-03 21:05:51', 'IP属地': '山西', '评论内容': '哪个脑残设计的隐藏式门把手'}
{'评论时间': '2024-02-03 22:52:28', 'IP属地': '湖北', '评论内容': '这设计好啊'}
{'评论时间': '2024-02-03 20:36:16', 'IP属地': '云南', '评论内容': '还好我前天跑了'}
{'评论时间': '2024-02-03 00:48:06', 'IP属地': '内蒙古', '评论内容': '南方的雪比北方的滑'}
{'评论时间': '2024-02-03 23:53:11', 'IP属地': '湖北', '评论内容': '我广东人我要冻死在武汉'}
{'评论时间': '2024-02-03 23:17:05', 'IP属地': '江西', '评论内容': '难怪我们现在能畅通无阻，感谢湖北高速路政辛苦付出！'}
{'评论时间': '2024-02-03 19:06:11', 'IP属地': '湖南', '评论内容': '200块钱油跑了2公里'}
{'评论时间': '2024-02-03 21:16:22', 'IP属地': '河北', '评论内容': '我们北方为啥不用'}
{'评论时间': '2024-02-03 21:48:31', 'IP属地': '广东', '评论内容': '武汉，厉害'}
{'评论时间': '2024-02-03 19:00:09', 'IP属地': '新疆', '评论内容': '这个玩意在我们北方就是鸡肋'}
{'评论时间': '2024-02-03 22:00:28', 'IP属地': '湖南', '评论内容': '一泡尿解决的事'}
{'评论时间': '2024-02-03 16:56:25', 'IP属地': '天津', '评论内容': '6号回武汉，应该不影响吧'}
{'评论时间': '2024-02-03 21:51:01', 'IP属地': '江苏', '评论内容': '隐形把手补实用'}
{'评论时间': '2024-02-03 18:32:50', 'IP属地': '江苏', '评论内容': '我看到这把手就问过结冰能门能开吗？4s说能开'}
{'评论时间': '2024-02-03 22:59:16', 'IP属地': '浙江', '评论内容': '淋热水，没有热水撒泡尿也行。办法总比困难多'}
{'评论时间': '2024-02-03 22:33:48', 'IP属地': '山东', '评论内容': '一泡尿就解决的事'}
{'评论时间': '2024-02-03 22:00:40', 'IP属地': '湖北', '评论内容': '大家安心在武汉过年'}
{'评论时间': '2024-02-03 06:30:20', 'IP属地': '湖北', '评论内容': '我最多就是听过刘德华的（冰雨）！今年第一次听到冻雨！话说是一样的吗？'}
{'评论时间': '2024-02-03 15:28:21', 'IP属地': '海南', '评论内容': '在湖北叫：冰色子'}
{'评论时间': '2024-02-03 19:06:59', 'IP属地': '山西', '评论内容': '最反人类的设计，巨大的安全隐患，建议全面禁止在乘用车上安装隐藏式门把手'}
{'评论时间': '2024-02-03 20:28:18', 'IP属地': '浙江', '评论内容': '不会买个车库么？'}
{'评论时间': '2024-02-03 20:25:34', 'IP属地': '河南', '评论内容': '中国专家设计的牛逼'}
{'评论时间': '2024-02-03 22:09:40', 'IP属地': '浙江', '评论内容': '好钢要用在刀好钢要用在刀刃上—高速上去试一试'}
{'评论时间': '2024-02-03 22:46:58', 'IP属地': '北京', '评论内容': '现代高科技'}
{'评论时间': '2024-02-03 13:55:37', 'IP属地': '浙江', '评论内容': '我一直觉得这个设计很脑残'}
{'评论时间': '2024-02-03 23:07:33', 'IP属地': '江苏', '评论内容': '光市区脸光滑了，看看荆州，荆门，宜昌吧'}
{'评论时间': '2024-02-03 21:59:17', 'IP属地': '广东', '评论内容': '有事故门都打不开'}
{'评论时间': '2024-02-03 23:08:58', 'IP属地': '湖北', '评论内容': '我们的大荆州怎么就没有'}
{'评论时间': '2024-02-03 12:21:27', 'IP属地': '湖北', '评论内容': '冻雨真的可以用热水浇吗'}
{'评论时间': '2024-02-03 19:37:49', 'IP属地': '湖北', '评论内容': '第一次听说冻雨，不就是下雪籽籽吗'}
{'评论时间': '2024-02-03 18:32:26', 'IP属地': '陕西', '评论内容': '没车位车库为什么买这种电车'}
{'评论时间': '2024-02-03 16:34:05', 'IP属地': '湖南', '评论内容': '好车，加油用力打'}
{'评论时间': '2024-02-03 11:36:12', 'IP属地': '湖北', '评论内容': '就这天气美团还不关 今天的外卖全部加餐'}
{'评论时间': '2024-02-03 20:03:04', 'IP属地': '湖北', '评论内容': '今天早上出门发现树都被压垮了'}
{'评论时间': '2024-02-03 19:56:22', 'IP属地': '山东', '评论内容': '一看就知道没经验，我都是早上起来不上厕所，先开车'}
{'评论时间': '2024-02-03 20:01:46', 'IP属地': '河南', '评论内容': '下批车高配会有门把手加热，老弟你买早了'}
